Source Node ID,Target Node ID,Link Value
109289078951237020,30876,1.0
109289078951237020,109245832526032961,1.0
109289078951237020,109246223497667477,1.0
109289078951237020,109244562005029602,1.0
109289078951237020,108136968771416517,1.0
109289078951237020,35711,1.0
109289078951237020,44353,1.0
109289078951237020,38686,1.0
109289078951237020,109254091885020084,1.0
109289078951237020,37708,1.0
109289078951237020,109258931818452010,1.0
109289078951237020,501479,1.0
109289078951237020,34662,1.0
109289078951237020,109254375162403979,1.0
109289078951237020,424002,1.0
109297354450052015,30876,1.0
109297354450052015,38686,1.0
1133139,30876,1.0
1133139,38686,1.0
30876,109284191270188393,1.0
30876,109250284576431526,1.0
30876,109297662681398998,1.0
30876,109298119283667033,1.0
30876,40665,1.0
30876,109339384081595831,1.0
30876,109300149257034682,1.0
30876,109261529003065346,1.0
30876,109265643618443677,1.0
30876,109287878212527101,1.0
30876,109302826980330290,1.0
30876,109291321946473296,1.0
30876,109297692572553005,1.0
30876,109285484154407770,1.0
30876,108255514337583795,1.0
30876,109286764973584354,1.0
109245832526032961,109246100344232413,1.0
109246223497667477,1350479,1.0
109246223497667477,109295037949683058,1.0
109246223497667477,108218038302597822,1.0
109246223497667477,109297031548661210,1.0
109246223497667477,109284191270188393,1.0
109246223497667477,109244562005029602,1.0
109246223497667477,109267847779265827,1.0
109246223497667477,108193667949380311,1.0
109246223497667477,109287730094712640,1.0
109246223497667477,109297032650867846,1.0
109246223497667477,109298294932205025,1.0
109246223497667477,109301611789395337,1.0
1350479,30876,1.0
1350479,109246223497667477,1.0
1350479,109244562005029602,1.0
1350479,38686,1.0
1350479,34400,1.0
108218038302597822,30876,1.0
108218038302597822,109245832526032961,1.0
108218038302597822,109246223497667477,1.0
108218038302597822,109246100344232413,1.0
108218038302597822,108255036824909071,1.0
108218038302597822,109244562005029602,1.0
108218038302597822,108136968771416517,1.0
108218038302597822,35711,1.0
108218038302597822,44353,1.0
108218038302597822,38686,1.0
108218038302597822,109254091885020084,1.0
108218038302597822,34202,1.0
108218038302597822,37708,1.0
108218038302597822,109258931818452010,1.0
108218038302597822,40665,1.0
108218038302597822,1021901,1.0
108218038302597822,501479,1.0
108218038302597822,34662,1.0
108218038302597822,109295196256318138,1.0
108218038302597822,424002,1.0
109284191270188393,30876,1.0
109284191270188393,38686,1.0
109246100344232413,30876,1.0
109246100344232413,109245832526032961,1.0
109246100344232413,108218038302597822,1.0
109246100344232413,109250284576431526,1.0
109246100344232413,109261529003065346,1.0
109246100344232413,109265643618443677,1.0
109246100344232413,109305105624228140,1.0
109246100344232413,109284863490577433,1.0
109309455291126317,108136968771416517,1.0
108255036824909071,108218038302597822,1.0
108255036824909071,109244562005029602,1.0
108255036824909071,109322468991171484,1.0
108255036824909071,587702,1.0
108255036824909071,1259277,1.0
108255036824909071,60748,1.0
108255036824909071,109349389271726043,1.0
108255036824909071,109297294433632243,1.0
109244562005029602,109289078951237020,1.0
109244562005029602,109297354450052015,1.0
109244562005029602,1133139,1.0
109244562005029602,30876,1.0
109244562005029602,109245832526032961,1.0
109244562005029602,109246223497667477,1.0
109244562005029602,1350479,1.0
109244562005029602,109295037949683058,1.0
109244562005029602,108218038302597822,1.0
109244562005029602,109297031548661210,1.0
109244562005029602,109284191270188393,1.0
109244562005029602,109246100344232413,1.0
109244562005029602,109309455291126317,1.0
109244562005029602,108255036824909071,1.0
109244562005029602,109300332482673426,1.0
109244562005029602,109304584877181295,1.0
109244562005029602,108136968771416517,1.0
109244562005029602,1333539,1.0
109244562005029602,35711,1.0
109244562005029602,109244189816415849,1.0
109244562005029602,109298169597226078,1.0
109244562005029602,109308564036468228,1.0
109244562005029602,109294462567145248,1.0
109244562005029602,109282943372216681,1.0
109244562005029602,109288088819516197,1.0
109244562005029602,44353,1.0
109244562005029602,38686,1.0
109244562005029602,109254091885020084,1.0
109244562005029602,109303608744343242,1.0
109244562005029602,109302948637498790,1.0
109244562005029602,109285081825400642,1.0
109244562005029602,108201410427250927,1.0
109244562005029602,109364317481533470,1.0
109244562005029602,109322468991171484,1.0
109244562005029602,109296913538193046,1.0
109244562005029602,108217107404371302,1.0
109244562005029602,109302642760478055,1.0
109244562005029602,109267847779265827,1.0
109244562005029602,107048634337213099,1.0
109244562005029602,108193667949380311,1.0
109244562005029602,109271660766892449,1.0
109244562005029602,587702,1.0
109244562005029602,109250284576431526,1.0
109244562005029602,109289127583063320,1.0
109244562005029602,109306126705829433,1.0
109244562005029602,34202,1.0
109244562005029602,109236534062341860,1.0
109244562005029602,109299037383779013,1.0
109244562005029602,109244538043860871,1.0
